,Date,User,Tweet
66,2019-12-29 06:01:58+00:00,elonmusk,@JohnnaCrider1 @mayemusk Literally. It was at 40th &amp; Baltimore in Philadelphia before gentrification.
67,2019-12-29 05:58:22+00:00,elonmusk,@JaneidyEve @johnkrausphotos @austinbarnard45 @flcnhvy @Joe__Wakefield @tjq1190 @tyger_cyber @fawfulfan @_Mikemo Ramones &amp; Bach
68,2019-12-29 05:50:22+00:00,elonmusk,"@johnkrausphotos @austinbarnard45 @flcnhvy @Joe__Wakefield @tjq1190 @tyger_cyber @fawfulfan @_Mikemo I hope someone has pics! My Mom came to visit one weekend &amp; was quite surprised by it all, but helped work coat check &amp; guarded the cash with a kitchen knife 🤣🤣"
69,2019-12-29 05:38:57+00:00,elonmusk,"@austinbarnard45 @flcnhvy @Joe__Wakefield @tjq1190 @tyger_cyber @fawfulfan @_Mikemo To pay rent, we turned our house into a nightclub &amp; charged a $5 entry fee. Looked cool at night, but insane by day … blacklights, luminescent spray paint &amp; metal junk sculptures."
70,2019-12-29 02:14:35+00:00,elonmusk,@kimbal 🖤 you too
71,2019-12-29 01:03:06+00:00,elonmusk,@catmonocle69 Sounds like a Marxist with style
72,2019-12-29 00:23:50+00:00,elonmusk,@flcnhvy @cyrusposting Exactly
73,2019-12-29 00:09:51+00:00,elonmusk,"@cyrusposting Induced demand is one of the most irrational theories I’ve ever heard. Correlation is not causation. If the transport system exceeds public travel needs, there will be very little traffic. I support anything that improves traffic, as this negatively affects almost everyone."
74,2019-12-28 23:47:59+00:00,elonmusk,"@Joe__Wakefield @austinbarnard45 @tjq1190 @tyger_cyber @fawfulfan @_Mikemo This is a pretty awful lie. I left South Africa by myself when I was 17 with just a backpack &amp; suitcase of books. Worked on my Mom’s cousin’s farm in Saskatchewan &amp; a lumber mill in Vancouver. Went to Queens Univ with scholarship &amp; debt, then same to UPenn/Wharton &amp; Stanford."
75,2019-12-28 23:38:57+00:00,elonmusk,"@austinbarnard45 @tjq1190 @tyger_cyber @fawfulfan @_Mikemo This person blocked me, so can’t read the tweet. Whats their deal?"
76,2019-12-28 23:22:36+00:00,elonmusk,"@IrinaAntony @tjq1190 @tyger_cyber @fawfulfan @_Mikemo We started Zip2 with ~$2k from me plus my overclocked home-built PC, ~$5k from my bro &amp; ~$8k from Greg Kouri (such a good guy — he is greatly missed).

My Dad provided 10% of a ~$200k angel funding round much later, but by then risk was reduced &amp; round would’ve happened anyway."
77,2019-12-28 22:42:53+00:00,elonmusk,"@tjq1190 @tyger_cyber @fawfulfan @_Mikemo He didn’t own an emerald mine &amp; I worked my way through college, ending up ~$100k in student debt. I couldn’t even afford a 2nd PC at Zip2, so programmed at night &amp; website only worked during day. Where is this bs coming from?"
78,2019-12-28 22:30:09+00:00,elonmusk,@geofficient Pretty much
79,2019-12-28 21:05:03+00:00,elonmusk,@annerajb @justpaulinelol Federal
80,2019-12-28 21:04:32+00:00,elonmusk,@justpaulinelol @annerajb Probably 2021. Depends on regulatory approvals.
81,2019-12-28 21:01:45+00:00,elonmusk,@annerajb Hopefully working in Caribbean by end of 2020. Def by 2021.
82,2019-12-28 19:46:16+00:00,elonmusk,"@waitbutwhy @Kurz_Gesagt Maximizing conversion of mass to aimed photons (pure momentum) is actually the highest possible efficiency, which is why an antimatter drive is probably the best way to get to other star systems with known physics. For “close” stars, a laser sail is good too."
83,2019-12-28 04:20:23+00:00,elonmusk,"@TheAssassin_95 Yes, but it’s too secret"
84,2019-12-28 04:20:00+00:00,elonmusk,@Erdayastronaut @teslaownersSV @Benioff Hopefully fully operational in 2020
85,2019-12-28 04:18:27+00:00,elonmusk,"@teslaownersSV @Benioff Boring Co is completing its first commercial tunnel in Vegas, going from Convention Center to Strip, then will work on other projects"
86,2019-12-28 04:15:06+00:00,elonmusk,"@flcnhvy No, he’s still much faster 🐌"
87,2019-12-28 04:13:38+00:00,elonmusk,"These would be road tunnels for zero emissions vehicles only — no toxic fumes is the key. Really, just an underground road, but limited to EVs (from all auto companies). This is not in place of other solutions, eg light rail, but supplemental to them."
88,2019-12-28 04:10:40+00:00,elonmusk,@teslaownersSV Done by dawn
89,2019-12-28 04:09:50+00:00,elonmusk,@Salo4201 That would be a fringe benefit 🤣🤣
90,2019-12-28 04:06:37+00:00,elonmusk,"Build super safe, Earthquake-proof tunnels under cities to solve traffic"
91,2019-12-28 02:56:20+00:00,elonmusk,@JaneidyEve Flight is hopefully 2 to 3 months away
92,2019-12-28 02:55:13+00:00,elonmusk,"@JaneidyEve We’re now building flight design of Starship SN1, but each SN will have at least minor improvements, at least through SN20 or so of Starship V1.0."
93,2019-12-27 19:50:28+00:00,elonmusk,Was up all night with SpaceX team working on Starship tank dome production (most difficult part of primary structure). Dawn arrives … https://t.co/SzyDSYUYOu
94,2019-12-27 08:54:35+00:00,elonmusk,@DiscoverMag Please stop spamming bleak links into a paywall
95,2019-12-26 23:55:11+00:00,elonmusk,@GutGutM3 @jamescharles Ok
96,2019-12-26 22:08:17+00:00,elonmusk,@Teslarati Activating engine two …
97,2019-12-26 20:18:29+00:00,elonmusk,@KakaroTTo1385 @flcnhvy @Sofiaan @Erdayastronaut It is an honor &amp; a privilege to work with so many great engineers
98,2019-12-26 20:15:36+00:00,elonmusk,@flcnhvy @Sofiaan @Erdayastronaut The overarching goal of Tesla engineering is maximize area under user happiness curve
99,2019-12-26 20:14:50+00:00,elonmusk,"@flcnhvy @Sofiaan @Erdayastronaut It’s not that these things can’t be done, they just absorb a lot of software engineering time, which has great opportunity cost. There are very few excellent software engineers &amp; merely increasing team size results in awful bloatware."
